"","COUNTRY","ISO3","CPI_SCORE_2017","CPI_RANK_2017","N_SOURCES_2017","STD_ERROR_2017","ID","WEBNAME","WORLD_RANK","REGION_RANK","HERITAGE_INDEX_2017","PROPERTY_RIGHTS","JUDICAL_EFFECTIVENESS","GOVERNMENT_INTEGRITY","TAX_BURDEN","GOV_SPENDING","FISCAL_HEALTH","BUSINESS_FREEDOM","LABOR_FREEDOM","MONETARY_FREEDOM","TRADE_FREEDOM","INVESTMENT_FREEDOM","FINANCIAL_FREEDOM","TARIFF_RATE_PRCT","INCOME_TAX_RATE_PRCT","CORPORATE_TAX_RATE_PRCT","TAX_BURDEN_OF_GDP","GOV_EXPENDITURE_OF_GDP","POPULATION","GDP_PPP","GDP_GROWTH_RATE_PRCT","FIVE_YEAR_GDP_GROWTH_RATE_PRCT","GDP_PER_CAPITA_PPP","UNEMPLOYMENT_PRCT","INFLATION_PRCT","FDI_INFLOW","PUBLIC_DEBT_PRCT_OF_GDP","GOV_EXPENDITURE_EDUC_PRCT_OF_GDP","TEENS_OUT_OF_SCHOOL_PRCT","CHILDREN_OUT_OF_SCHOOL_PRCT","GINI_INDEX","LITERACY_RATE_YOUTH","LITERACY_RATE_ADULT","LIFE_EXPECTANCY","POP_AGES_0TO14_PRCT","POP_AGES_15TO64_PRCT","POP_AGES_65_AND_ABOVE_PRCT","REGION","GDP_PER_CAPITA_QUANTILE","factor(GDP_PER_CAPITA_QUANTILE)","DUMMY_CPI","DUMMY_CPI_ORDERED","log_GDP_PPP","log_GDP_PER_CAPITA_PPP","team_size","problem1","problem2","problem3","problem4","problem5","problem6","total","rank","gold_medals","silver_medals","bronze_medals","honourable_mentions"
"64","Bosnia and Herzegovina","BIH",0.38,91,7,2.56,"20","BosniaHerzegovina",92,36,0.602219829,0.4120706306,0.3999215071,0.3270177927,0.834839,0.337403396,0.8927779217,0.474,0.5930539967,0.839753703,0.8658,0.65,0.6,0.017,0.1,0.1,38.1,46.827,3900000,4.05e+10,0.028,0.013,10491.8,0.303,-0.01,249500000,0.455,0.0371016001701355,0.0682525014877319,0.118051500320435,31.1,99.7439155578614,99.5501632690429,77.128,0.147957123995793,0.694545318921983,0.157497557082224,"Europe","[5.01e+03,1.87e+04]","[5.01e+03,1.87e+04]",0,3,24.4245678110589,9.25834927866249,6,41,15,0,39,0,0,95,44,0,0,4,2
"65","Mongolia","MNG",0.36,103,9,1.4,"113","Mongolia",129,29,0.5476115031,0.5128192589,0.2836211408,0.3675199258,0.871331,0.57609757,0,0.672,0.7658995091,0.7226496322,0.7494,0.45,0.6,0.05,0.1,0.25,23.7,33.837,3e+06,3.61e+10,0.023,0.103,12146.6,0.071,0.059,195100000,0.765,0.0408859014511108,0.0289137506484986,0.00592299997806549,37.3,98.8564605712891,91.895751953125,69.509,0.299497781800034,0.660564020777279,0.0399381974226874,"Asia-Pacific","(9.38e+03,1.76e+04]","(9.38e+03,1.76e+04]",0,3,24.3095587022852,9.40480457421652,6,37,12,0,42,1,1,93,48,0,1,2,3
"66","Panama","PAN",0.37,96,7,1.79,"127","Panama",54,8,0.6626311188,0.6108944785,0.2146127682,0.4085113382,0.851896,0.83078125,0.8490210734,0.744,0.4296754693,0.7837810482,0.7784,0.75,0.7,0.061,0.25,0.25,15.2,23.16,4e+06,8.72e+10,0.058,0.079,21764.6,0.052,0.001,5038600000,0.388,0.0288224005699158,0.121788597106934,0.132182598114014,49.9,99.008659362793,96.4022827148438,78.149,0.273394729530685,0.647506105164425,0.0790991653048905,"Americas","(1.73e+04,4.56e+04]","(1.73e+04,4.56e+04]",0,3,25.1914701678613,9.98804007568749,1,7,3,0,5,0,0,15,99,0,0,0,1
"67","Philippines","PHL",0.34,111,9,1.9,"131","Philippines",58,14,0.6560568461,0.4918392141,0.3714024071,0.3866463263,0.789104,0.8938476459,0.972427262,0.626,0.5717913487,0.8056239495,0.764,0.6,0.6,0.043,0.32,0.3,13.6,19.362,101400000,7.41e+11,0.058,0.059,7254.2,0.067,0.014,5.234e+09,0.371,0.0440000009536743,0.126485595703125,0.0324850988388062,37.4,83.8085060119629,62.8465995788575,70.952,0.314680085202537,0.635948947887491,0.0493709669099723,"Asia-Pacific","(3.95e+03,9.38e+03]","(3.95e+03,9.38e+03]",0,3,27.3312664622425,8.88933589045809,6,42,25,0,42,11,0,120,17,0,3,3,0
"68","Nepal","NPL",0.31,122,6,2,"118","Nepal",125,26,0.5510815611,0.3729875618,0.3201203558,0.2666761511,0.849079,0.894872224,0.9835629155,0.646,0.4763826977,0.7220978273,0.6812,0.1,0.3,0.109,0.25,0.25,16.1,19.878,28400000,7.01e+10,0.034,0.042,2465.2,0.031,0.072,51400000,0.287,0.0476722002029419,0.0533436012268066,0.0352287006378174,37.3,92.9507598876953,72.8929672241211,70.169,0.31336510561534,0.629988020344461,0.056646874040199,"Asia-Pacific","[1.95e+03,3.95e+03]","[1.95e+03,3.95e+03]",0,3,24.973188630987,7.81002821908809,6,0,1,0,2,0,0,3,110,0,0,0,0
"69","Ukraine","UKR",0.3,130,9,2.27,"172","Ukraine",166,44,0.4809176552,0.4141307424,0.2260596546,0.2923775575,0.786224,0.3823328125,0.6786112484,0.621,0.4881448639,0.4735309827,0.8586,0.25,0.3,0.021,0.2,0.18,37.6,43.241,42700000,3.395e+11,-0.099,-0.021,7970.8,0.099,0.487,2.961e+09,0.802,0.0541226005554199,0.0439209985733032,0.0162401002645493,26,99.7439155578614,99.5501632690429,71.7809756097561,0.156289572025388,0.682158166427496,0.161552261547116,"Europe","[5.01e+03,1.87e+04]","[5.01e+03,1.87e+04]",0,1,26.5507397839452,8.98354014315843,6,42,30,0,36,10,4,122,14,1,2,2,1
"70","Bolivia","BOL",0.33,112,6,2.98,"19","Bolivia",168,30,0.4769645774,0.2570821338,0.1541732077,0.3260211096,0.861064,0.4905784624,0.8136426737,0.589,0.358,0.6638133416,0.7602,0.05,0.4,0.045,0.13,0.25,24.4,41.935,11500000,7.44e+10,0.048,0.055,6465.3,0.036,0.041,503400000,0.397,0.0404145991802216,0.145239601135254,0.0843424987792969,44.6,97.9804534912109,88.4827117919922,70.945,0.315346173965445,0.614195037816536,0.0704587882180194,"Americas","[1.75e+03,8.4e+03]","[1.75e+03,8.4e+03]",0,3,25.0327217787855,8.77420469384164,6,24,0,0,17,0,0,41,94,0,0,0,4
"71","Kenya","KEN",0.28,143,9,1.94,"85","Kenya",135,27,0.534770027,0.4510906474,0.4268707483,0.2470508382,0.785031,0.77886868,0.1444773856,0.5,0.6243826764,0.737668348,0.6718,0.55,0.5,0.089,0.3,0.3,18.7,28.598,44100000,1.419e+11,0.056,0.055,3207.7,0.092,0.066,1.437e+09,0.527,0.0536668014526367,0.282295107841492,0.151665849685669,41.05,63.947811126709,53.4975891113281,65.909,0.403500123513719,0.573938820427461,0.0225610560588208,"Sub-Saharan Africa","(2.63e+03,5.56e+03]","(2.63e+03,5.56e+03]",0,1,25.6783884211124,8.07330944840402,6,3,0,0,3,2,0,8,107,0,0,0,0
"72","Mexico","MEX",0.29,135,9,1.69,"110","Mexico",70,14,0.6355098529,0.5809025368,0.3871140764,0.2995371816,0.748691,0.7673021099,0.6682363839,0.707,0.5794207371,0.7879142091,0.8,0.7,0.6,0.05,0.35,0.3,19.7,27.591,121100000,2.2272e+12,0.025,0.028,17534.4,0.043,0.027,30284600000,0.54,0.0451821994781494,0.0593955993652344,0.00728760004043579,41.1,99.1246871948242,94.9727783203125,74.947,0.269392249508412,0.660200045642909,0.0704077048486791,"Americas","(1.73e+04,4.56e+04]","(1.73e+04,4.56e+04]",0,1,28.4317663070865,9.77191994470913,6,42,13,0,39,2,0,96,43,0,1,2,3
"73","Pakistan","PAK",0.32,117,8,2.11,"126","Pakistan",141,32,0.528263699,0.3644180138,0.3405939299,0.3047099665,0.789,0.8726178292,0.3080820196,0.612,0.3775709006,0.7477717284,0.6724,0.55,0.4,0.089,0.3,0.33,11,19.814,1.9e+08,9.31e+11,0.042,0.039,5000,0.054,0.045,864700000,0.644,0.0289951992034912,0.126485595703125,0.0315279495716095,37.4,74.5263824462891,59.1320495605469,66.947,0.35478621035315,0.602075429118137,0.0431383605287132,"Asia-Pacific","(3.95e+03,9.38e+03]","(3.95e+03,9.38e+03]",0,3,27.5595251142235,8.51719319141624,6,23,6,0,29,0,0,58,81,0,0,1,3
